location_key,date,new_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,adult_male_mortality_rate,adult_female_mortality_rate
CH,2020-12-30,1659,2,10,58.204,35.896
US,2020-12-18,409914,1262,10854,139.141,81.935
CZ,2020-12-31,1313,0,1,108.785,51.325
CH,2020-12-21,1,1,1,58.204,35.896
CA,2020-12-29,13012,1,2,82.625,51.763
AR,2020-12-29,8793,3,3,147.086,79.483
LV,2020-12-30,801,1,2,228.584,85.367
US,2020-12-24,191839,1210,21690,139.141,81.935
US,2020-12-29,705355,5438,33347,139.141,81.935
AT,2020-12-29,1676,0,0,79.032,41.779
IE,2020-12-30,1060,1,20,71.299,41.591
US,2020-12-14,4534,143,8025,139.141,81.935
US,2020-12-25,12527,121,21811,139.141,81.935
US,2020-12-22,440536,2992,17297,139.141,81.935
IE,2020-12-29,78,3,19,71.299,41.591
PL,2020-12-28,4385,0,0,160.653,61.842
US,2020-12-20,104001,774,12727,139.141,81.935
AT,2020-12-30,1402,0,0,79.032,41.779
IL,2020-12-29,156310,2,6,70.873,39.638
CH,2020-12-28,1597,4,4,58.204,35.896
CH,2020-12-24,264,0,0,58.204,35.896
EE,2020-12-30,1013,22,50,154.542,56.077
FR,2020-12-31,440,23,157,95.352,48.187
US,2020-12-16,154789,488,8803,139.141,81.935
US,2020-12-19,178837,1099,11953,139.141,81.935
AR,2020-12-30,8774,4,7,147.086,79.483
CZ,2020-12-27,1286,0,0,108.785,51.325
IL,2020-12-31,158563,0,6,70.873,39.638
CZ,2020-12-28,2303,0,0,108.785,51.325
PL,2020-12-31,10611,0,0,160.653,61.842
CA,2020-12-26,33809,0,0,82.625,51.763
IL,2020-12-23,62914,0,4,70.873,39.638
CA,2020-12-27,3612,0,1,82.625,51.763
IE,2020-12-31,1035,1,21,71.299,41.591
US,2020-12-26,138569,989,22800,139.141,81.935
CA,2020-12-23,8693,0,1,82.625,51.763
CH,2020-12-22,2,0,0,58.204,35.896
IL,2020-12-26,32617,0,4,70.873,39.638
CZ,2020-12-29,3470,1,1,108.785,51.325
CA,2020-12-31,15529,0,2,82.625,51.763
CH,2020-12-25,1,0,0,58.204,35.896
CH,2020-12-26,435,0,0,58.204,35.896
US,2020-12-23,563027,3183,20480,139.141,81.935
CH,2020-12-31,252,1,11,58.204,35.896
IL,2020-12-28,135019,0,4,70.873,39.638
US,2020-12-17,266820,789,9592,139.141,81.935
BE,2020-12-30,522,1,2,80.262,49.245
IL,2020-12-21,24922,0,4,70.873,39.638
AT,2020-12-28,1335,0,0,79.032,41.779
US,2020-12-21,377814,1578,14305,139.141,81.935
US,2020-12-27,93203,775,23575,139.141,81.935
US,2020-12-30,824358,7994,41341,139.141,81.935
EE,2020-12-28,318,9,14,154.542,56.077
BE,2020-12-29,29,1,1,80.262,49.245
US,2020-12-31,412646,3390,44731,139.141,81.935
US,2020-12-28,579306,4334,27909,139.141,81.935
DK,2020-12-31,5176,0,1,82.426,51.652
EE,2020-12-31,586,24,74,154.542,56.077
IL,2020-12-25,38512,0,4,70.873,39.638
IL,2020-12-24,73423,0,4,70.873,39.638
LV,2020-12-31,7,0,2,228.584,85.367
CA,2020-12-30,8549,0,2,82.625,51.763
CA,2020-12-25,3053,0,1,82.625,51.763
IL,2020-12-22,44662,0,4,70.873,39.638
LV,2020-12-29,879,0,1,228.584,85.367
BE,2020-12-31,48,0,2,80.262,49.245
AT,2020-12-31,18,0,0,79.032,41.779
CH,2020-12-29,1664,4,8,58.204,35.896
PL,2020-12-29,10028,0,0,160.653,61.842
AR,2020-12-31,1230,0,7,147.086,79.483
FR,2020-12-29,384,19,116,95.352,48.187
CH,2020-12-23,404,0,0,58.204,35.896
PL,2020-12-30,20329,0,0,160.653,61.842
DK,2020-12-30,10115,0,1,82.426,51.652
PL,2020-12-27,2170,0,0,160.653,61.842
CZ,2020-12-30,3515,0,1,108.785,51.325
EE,2020-12-29,367,14,28,154.542,56.077
FR,2020-12-28,683,42,97,95.352,48.187
FR,2020-12-27,609,55,55,95.352,48.187
CA,2020-12-24,10203,0,1,82.625,51.763
IL,2020-12-27,104562,0,4,70.873,39.638
US,2020-12-15,45854,290,8315,139.141,81.935
CH,2020-12-27,0,0,0,58.204,35.896
FR,2020-12-30,443,18,134,95.352,48.187
IL,2020-12-20,7393,0,4,70.873,39.638
CA,2020-12-28,6626,0,1,82.625,51.763
BE,2020-12-28,340,0,0,80.262,49.245
IL,2020-12-30,153161,0,6,70.873,39.638
