,country_name,population,area_sq_km,population_density
0,Australia,25499881,7741220,3.319
1,Bahrain,1701583,778,2238.925
2,Brunei,437483,5770,83.014
3,Bouvet Island,0,49,
4,Belarus,9449321,207600,46.569
5,Democratic Republic of the Congo,89561404,2344860,39.506
6,Cameroon,26545864,475440,56.157
7,China,1439323774,9562910,153.312
8,Colombia,50882884,1141748,45.861
9,Costa Rica,5094114,51100,99.767
10,Cyprus,875899,9250,94.4
11,Estonia,1324820,45340,30.4
12,Falkland Islands,3483,12200,0.286
13,Grenada,112519,340,330.938
14,South Georgia and the South Sandwich Islands,30,3718,
15,Indonesia,273523621,1913580,150.987
16,Kuwait,4270563,17820,239.65
17,Sri Lanka,21413250,65610,341.465
18,Morocco,36910558,446550,82.703
19,Marshall Islands,59194,180,328.856
20,Myanmar,54409794,676590,83.286
21,Malta,493559,320,1548.3
22,French Polynesia,280904,4000,76.75
23,Portugal,10276617,92225,113.0
24,Sierra Leone,7976985,72300,110.515
25,Senegal,16743930,196710,86.968
26,Swaziland,1160164,17360,67.451
27,Thailand,69799978,513120,136.624
28,Tajikistan,9537642,141380,68.145
29,Venezuela,28435943,912050,32.238
30,British Virgin Islands,30237,150,201.58
31,Czech Republic,10649800,78870,137.7
32,Andorra,77265,470,164.394
33,United Arab Emirates,9890400,83600,118.306
34,Anguilla,15002,91,166.689
35,Albania,2862427,28750,99.6
36,Angola,32866267,1246700,26.363
37,American Samoa,55197,200,275.985
38,Bangladesh,164689383,147630,1265.187
39,Cocos Islands,596,14,
40,Cook Islands,17564,240,73.183
41,Dominica,71991,750,95.988
42,Eritrea,3546427,117600,35.113
43,United Kingdom,66647112,243610,273.8
44,Guernsey,63276,63,
45,Ghana,31072945,238540,136.56
46,Guatemala,17915567,108890,167.185
47,Isle of Man,85032,570,149.179
48,Italy,60359546,301340,202.9
49,Cayman Islands,65720,260,273.833
50,Laos,7275556,236800,31.523
51,Lebanon,6825442,10450,667.199
52,Namibia,2540916,824290,3.086
53,Niger,24206636,1267000,19.11
54,Oman,5106622,309500,16.5
55,Papua New Guinea,8947027,462840,19.757
56,Philippines,100979303,300000,367.512
57,Pakistan,220892331,796100,286.546
58,Réunion,895308,2512,358.123
59,Saudi Arabia,34813867,2149690,16.195
60,Saint Helena,6071,121,15.567
61,Suriname,586634,163820,3.76
62,Sint Maarten,42882,34,1261.235
63,Togo,8278736,56790,152.211
64,Tunisia,11818618,163610,76.072
65,Wallis and Futuna,11246,274,80.329
66,Taiwan,23816775,36193,672.6
67,Afghanistan,38928341,652860,59.627
68,Ethiopia,114963583,1104300,114.964
69,Gibraltar,33691,10,3369.1
70,India,1380004385,3287259,464.149
71,Iran,83992953,1745150,51.575
72,Japan,126476458,377970,346.934
73,Cambodia,16718971,181040,94.714
74,Saint Kitts and Nevis,53192,260,204.585
75,Saint Lucia,183629,620,301.031
76,Macedonia,2077132,25710,83.4
77,Macau,649342,30,21717.124
78,Mexico,110991953,1964375,66.325
79,New Caledonia,285491,18580,15.618
80,Nauru,10834,20,541.7
81,Panama,4314768,75420,58.041
82,Russia,145934460,17098250,8.911
83,Sudan,43849269,1886068,24.843
84,Trinidad and Tobago,1399491,5130,272.805
85,Zambia,18383956,752610,24.73
86,Antigua and Barbuda,97928,440,222.564
87,Antarctica,4400,14200000,
88,Azerbaijan,10139175,86600,122.664
89,Barbados,287371,430,668.305
90,Bulgaria,7000039,111000,63.9
91,Burundi,11890781,27830,463.037
92,Bahamas,393248,13880,39.286
93,Bhutan,771612,38393,20.243
94,Botswana,2351625,581730,4.149
95,Canada,37742157,9984670,4.15
96,Republic of the Congo,5518092,342000,16.158
97,Denmark,5806081,42920,138.0
98,Dominican Republic,10847904,48670,224.501
99,French Guiana,298682,83534,3.634
100,Greenland,56772,410450,0.138
101,Iceland,356991,103000,3.5
102,Luxembourg,613894,2590,235.1
103,Moldova,4033963,33850,122.799
104,Montenegro,622182,13810,45.7
105,Norfolk Island,2188,34,
106,Palestine,5101416,6020,847.411
107,Serbia,6963764,88360,91.0
108,Sweden,10230185,447430,25.0
109,Syria,17500657,185180,95.304
110,French Southern Territories,196,7829,
111,East Timor,1318442,14870,88.665
112,United States Minor Outlying Islands,190,34,
113,Uruguay,3473727,176220,19.848
114,Saint Vincent and the Grenadines,110947,390,284.479
115,Vietnam,97338583,331230,313.925
116,Vanuatu,307150,12190,25.197
117,Kosovo,1883018,10909,
118,Yemen,29825968,527970,56.492
119,Brazil,212559409,8515770,25.431
120,Argentina,44938712,2780400,16.515
121,Benin,12123198,114760,107.513
122,Caribbean Netherlands,26221,322,79.942
123,Cape Verde,555988,4030,137.962
124,Curaçao,164100,444,369.595
125,Ecuador,17643060,256370,71.038
126,Micronesia,115021,700,164.316
127,Gabon,2225728,267670,8.638
128,Georgia,3989175,69700,57.406
129,Guam,168783,540,312.561
130,Jamaica,2961161,10990,273.422
131,Kenya,53771300,580370,94.478
132,Libya,6871287,1759540,3.905
133,Martinique,375265,1128,354.024
134,Mauritania,4649660,1030700,4.511
135,Mozambique,31255435,786380,39.746
136,Rwanda,12952209,26340,525.019
137,Slovenia,2080908,20675,102.9
138,Svalbard and Jan Mayen,,,
139,Slovakia,5450421,49030,111.8
140,San Marino,33938,60,565.633
141,Tonga,105697,750,146.801
142,United States of America,331002647,9831510,36.185
143,Uzbekistan,33469199,447400,78.677
144,United States Virgin Islands,104423,350,298.351
145,Armenia,2963234,29740,104.083
146,Austria,8858775,83879,107.1
147,Bermuda,62273,4290,1245.46
148,Belize,397621,22970,17.432
149,Central African Republic,4829764,622980,7.753
150,Djibouti,988002,23200,42.623
151,Egypt,102334403,1001450,102.802
152,Guinea-Bissau,1967998,36130,69.986
153,Hong Kong,7496988,1110,7139.989
154,Jordan,10203140,89320,114.926
155,Kiribati,119446,810,147.464
156,South Korea,51269183,100339,527.298
157,Liechtenstein,38378,160,242.1
158,Lesotho,2142252,30360,70.562
159,Latvia,1919968,64490,30.4
160,Monaco,39244,2,26338.255
161,Nicaragua,6624554,130370,55.049
162,Norway,5328212,625217,17.2
163,Nepal,29136808,147180,203.256
164,Pitcairn Islands,50,47,
165,Qatar,2881060,11610,248.153
166,Somalia,15893219,637660,25.334
167,South Sudan,11193729,619745,18.322
168,Chad,16425859,1284000,13.045
169,Tokelau,1350,10,135.0
170,Turkey,82003882,785350,106.2
171,Ukraine,43733759,603550,75.492
172,Samoa,198410,2840,70.11
173,Aruba,106766,180,593.144
174,Bosnia and Herzegovina,3280815,51210,64.33
175,Bolivia,11673029,1098580,10.775
176,Christmas Island,1843,135,
177,Germany,83019213,357580,234.7
178,Algeria,43851043,2381740,18.411
179,Western Sahara,597330,266000,2.246
180,Spain,46937060,505935,93.1
181,Finland,5517919,338450,18.1
182,Fiji,896444,18270,49.066
183,France,67012883,549086,105.6
184,Equatorial Guinea,1402985,28050,50.017
185,Heard Island and McDonald Islands,0,658903,
186,Croatia,4076246,56590,73.2
187,Ireland,4904240,70280,70.9
188,Iraq,40222503,435051,92.61
189,Jersey,105500,118,
190,Kyrgyzstan,6524191,199950,34.016
191,Kazakhstan,18776707,2724901,6.955
192,Mali,20250834,1240190,16.596
193,Mongolia,3278292,1564120,2.11
194,Northern Mariana Islands,57557,460,125.124
195,Montserrat,4999,102,49.99
196,Malawi,19129955,118480,202.906
197,Nigeria,206139587,923770,226.336
198,Niue,1618,260,6.223
199,New Zealand,4822233,267710,18.314
200,Peru,29381884,1285220,25.759
201,Puerto Rico,2860840,8870,322.53
202,Palau,18092,460,39.33
203,Paraguay,7132530,406751,17.953
204,São Tomé and Príncipe,219161,960,228.293
205,Turks and Caicos Islands,38718,950,40.756
206,Turkmenistan,6031187,488100,12.834
207,Tuvalu,11792,30,393.067
208,Uganda,45741000,241550,228.922
209,Vatican City,809,0,1838.636
210,Zimbabwe,14862927,390760,38.42
211,Romania,19414458,238400,83.1
212,Netherlands Antilles,197041,800,
213,Belgium,11455519,30530,375.3
214,Burkina Faso,20903278,274220,76.401
215,Switzerland,8544527,41290,213.6
216,Ivory Coast,26378275,322460,82.951
217,Chile,17574003,756700,25.71
218,Cuba,11326616,109880,106.413
219,Faroe Islands,48865,1396,35.004
220,Gambia,2416664,11300,238.801
221,Guinea,13132792,245860,53.446
222,Greece,10724599,131960,82.5
223,Guyana,786559,214970,3.996
224,Honduras,9904608,112490,88.521
225,Haiti,11402533,27750,413.735
226,Hungary,9772756,93030,107.1
227,Israel,8655541,22070,399.979
228,British Indian Ocean Territory,4000,,
229,Comoros,869595,1861,467.273
230,North Korea,25778815,120540,214.092
231,Liberia,5057677,111370,52.509
232,Lithuania,2794184,65286,44.7
233,Madagascar,27691019,587295,47.596
234,Mauritius,1271767,2040,626.486
235,Maldives,540542,300,1801.807
236,Netherlands,17282163,41540,504.0
237,Poland,37972812,312680,123.6
238,Solomon Islands,686878,28900,24.54
239,Seychelles,98340,460,213.783
240,Singapore,5850343,719,8357.633
241,El Salvador,6486201,21040,313.041
242,Tanzania,59734213,947300,67.435
243,Mayotte,272813,374,727.501
244,South Africa,59308690,1219090,48.891
245,Malaysia,32655400,330345,98.512
